water,fat,temperature,heat_capacity,thermal_conductivity,density
0.72,0.0044,275.15,3.527,0.477,1049.5
0.72,0.0044,281.15,3.476,0.477,1048.5
0.72,0.0044,288.15,3.499,0.488,1045.1
0.72,0.0044,293.15,3.518,0.495,1044.4
0.72,0.0044,303.15,3.572,0.508,1040
0.72,0.0044,314.15,3.622,0.524,1036.1
0.72,0.0044,323.15,3.684,0.529,1032
0.72,0.0044,333.15,3.709,0.539,1028.7
0.72,0.0044,344.15,3.69,0.55,1024.9
0.72,0.0481,275.15,3.472,0.475,1048.4
0.72,0.0481,281.15,3.422,0.475,1045.3
0.72,0.0481,288.15,3.448,0.486,1042.8
0.72,0.0481,293.15,3.53,0.496,1040.1
0.72,0.0481,303.15,3.555,0.505,1036.7
0.72,0.0481,314.15,3.537,0.518,1032.9
0.72,0.0481,323.15,3.623,0.531,1031.1
0.72,0.0481,333.15,3.652,0.541,1028.7
0.72,0.0481,344.15,3.694,0.554,1023.9
0.72,0.0771,275.15,3.369,0.462,1046.3
0.72,0.0771,281.15,3.391,0.471,1044.2
0.72,0.0771,288.15,3.434,0.485,1041.9
0.72,0.0771,293.15,3.464,0.493,1039.1
0.72,0.0771,303.15,3.457,0.511,1035.7
0.72,0.0771,314.15,3.495,0.523,1033.1
0.72,0.0771,323.15,3.544,0.524,1031.1
0.72,0.0771,333.15,3.59,0.541,1026.7
0.72,0.0771,344.15,3.658,0.548,1022.9
0.84,0.0044,275.15,3.84,0.514,1044.4
0.84,0.0044,281.15,3.886,0.532,1041.3
0.84,0.0044,288.15,3.891,0.545,1038.8
0.84,0.0044,293.15,3.842,0.546,1036.1
0.84,0.0044,303.15,3.923,0.572,1032.8
0.84,0.0044,314.15,3.869,0.577,1029
0.84,0.0044,323.15,3.889,0.588,1027.1
0.84,0.0044,333.15,3.932,0.6,1024.8
0.84,0.0044,344.15,3.968,0.609,1020.1
0.84,0.0481,275.15,3.75,0.507,1041.1
0.84,0.0481,281.15,3.821,0.529,1038
0.84,0.0481,288.15,3.762,0.533,1035.7
0.84,0.0481,293.15,3.775,0.543,1034
0.84,0.0481,303.15,3.816,0.563,1031.8
0.84,0.0481,314.15,3.809,0.574,1029.1
0.84,0.0481,323.15,3.829,0.585,1025
0.84,0.0481,333.15,3.87,0.597,1022.7
0.84,0.0481,344.15,3.906,0.606,1018
0.84,0.0771,275.15,3.776,0.511,1040.2
0.84,0.0771,281.15,3.78,0.523,1039.2
0.84,0.0771,288.15,3.736,0.53,1035.8
0.84,0.0771,293.15,3.805,0.548,1034.1
0.84,0.0771,303.15,3.82,0.564,1029.8
0.84,0.0771,314.15,3.836,0.579,1026
0.84,0.0771,323.15,3.825,0.585,1022.9
0.84,0.0771,333.15,3.863,0.596,1020.7
0.84,0.0771,344.15,3.852,0.598,1018
0.92,0.0044,275.15,4.098,0.544,1039.2
0.92,0.0044,281.15,4.042,0.552,1038.2
0.92,0.0044,288.15,4.114,0.578,1034.8
0.92,0.0044,293.15,4.123,0.59,1033.1
0.92,0.0044,303.15,4.124,0.608,1030.8
0.92,0.0044,314.15,4.073,0.616,1026.1
0.92,0.0044,323.15,4.069,0.637,1023
0.92,0.0044,333.15,4.082,0.641,1020.7
0.92,0.0044,344.15,4.117,0.641,1016
0.92,0.0481,275.15,3.962,0.532,1037
0.92,0.0481,281.15,3.971,0.548,1036.1
0.92,0.0481,288.15,4.002,0.568,1032.7
0.92,0.0481,293.15,3.978,0.575,1032
0.92,0.0481,303.15,3.991,0.595,1027.7
0.92,0.0481,314.15,4.025,0.616,1025
0.92,0.0481,323.15,4.05,0.629,1020.9
0.92,0.0481,333.15,4.095,0.644,1018.6
0.92,0.0481,344.15,4.097,0.648,1013.9
0.92,0.0771,275.15,3.923,0.531,1036.1
0.92,0.0771,281.15,3.932,0.547,1035.1
0.92,0.0771,288.15,3.962,0.559,1031.7
0.92,0.0771,293.15,3.982,0.571,1031.1
0.92,0.0771,303.15,4.027,0.593,1026.7
0.92,0.0771,314.15,4.029,0.606,1022.9
0.92,0.0771,323.15,3.978,0.617,1018.9
0.92,0.0771,333.15,4.051,0.63,1015.5
0.92,0.0771,344.15,3.984,0.638,1011.8
